timestamp,Эхо Москвы
2020-12-06 18:10:34.362262249,3771
2020-12-06 18:10:39.472637415,3788
2020-12-06 18:10:44.554298162,3822
2020-12-06 18:10:49.617828608,3836
2020-12-06 18:10:54.741607189,3846
2020-12-06 18:10:59.825974703,3876
2020-12-06 18:11:04.935091496,3874
2020-12-06 18:11:10.045553446,3892
2020-12-06 18:11:15.168010950,3929
2020-12-06 18:11:20.299813032,3947
2020-12-06 18:11:25.410989523,3950
2020-12-06 18:11:30.529473781,3978
2020-12-06 18:11:35.604660511,3988
2020-12-06 18:11:40.678750515,4000
2020-12-06 18:11:45.793660641,4049
2020-12-06 18:11:50.906031370,4069
2020-12-06 18:11:55.976405382,4078
2020-12-06 18:12:01.073336601,4111
2020-12-06 18:12:06.147421122,4110
2020-12-06 18:12:11.240226030,4107
2020-12-06 18:12:16.320289373,4152
2020-12-06 18:12:21.429921150,4150
2020-12-06 18:12:26.551991463,4176
2020-12-06 18:12:31.644149065,4189
2020-12-06 18:12:36.767239571,4195
2020-12-06 18:12:41.842751980,4195
2020-12-06 18:12:46.918294430,4238
2020-12-06 18:12:51.995441437,4244
2020-12-06 18:12:57.116677523,4282
2020-12-06 18:13:02.231253386,4297
2020-12-06 18:13:07.358383179,4304
2020-12-06 18:13:12.479160786,4336
2020-12-06 18:13:17.602609873,4352
2020-12-06 18:13:22.739882708,4345
2020-12-06 18:13:27.804790497,4380
2020-12-06 18:13:32.875266314,4400
2020-12-06 18:13:37.988926649,4413
2020-12-06 18:13:43.120328426,4459
2020-12-06 18:13:48.231235981,4479
2020-12-06 18:13:53.338001251,4483
2020-12-06 18:13:58.413484812,4520
2020-12-06 18:14:03.526591300,4525
2020-12-06 18:14:08.605524063,4533
2020-12-06 18:14:13.685130358,4568
2020-12-06 18:14:18.814505577,4576
2020-12-06 18:14:23.917164564,4573
2020-12-06 18:14:28.994744062,4602
2020-12-06 18:14:34.137344599,4615
2020-12-06 18:14:39.277990341,4620
2020-12-06 18:14:44.347953320,4644
2020-12-06 18:14:49.427011251,4636
2020-12-06 18:14:54.542372704,4625
2020-12-06 18:14:59.625062704,4649
2020-12-06 18:15:04.755671978,4665
2020-12-06 18:15:09.832252502,4670
2020-12-06 18:15:14.908330202,4692
2020-12-06 18:15:19.996233702,4713
2020-12-06 18:15:25.121503592,4719
2020-12-06 18:15:30.209808111,4754
2020-12-06 18:15:35.330615282,4772
